full_text,cleasing,Tokenization and Case Folfing,Filtering/stopword removal,stemming data
Serangan  ke Capres Abadi mantap jiwa. Keren . Jika Capresku Ganjar tdk masuk diputaran kedua. Saya akan dukung anda. DebatCapres   GanjarBersih KuatkanKPK Hebat Ganjar Presidenku LanjutGan Bansos Rakyat,Serangan  ke Capres Abadi mantap jiwa Keren  Jika Capresku Ganjar tdk masuk diputaran kedua Saya akan dukung anda DebatCapres   GanjarBersih KuatkanKPK Hebat Ganjar Presidenku LanjutGan Bansos Rakyat,"['serangan', 'ke', 'capres', 'abadi', 'mantap', 'jiwa', 'keren', 'jika', 'capresku', 'ganjar', 'tdk', 'masuk', 'diputaran', 'kedua', 'saya', 'akan', 'dukung', 'anda', 'debatcapres', 'ganjarbersih', 'kuatkankpk', 'hebat', 'ganjar', 'presidenku', 'lanjutgan', 'bansos', 'rakyat']","['serangan', 'capres', 'abadi', 'mantap', 'jiwa', 'keren', 'capresku', 'ganjar', 'tdk', 'masuk', 'diputaran', 'dukung', 'debatcapres', 'ganjarbersih', 'kuatkankpk', 'hebat', 'ganjar', 'presidenku', 'lanjutgan', 'bansos', 'rakyat']",serang capres abadi mantap jiwa keren capresku ganjar tdk masuk putar dukung debatcapres ganjarbersih kuatkankpk hebat ganjar presiden lanjutgan bansos rakyat
"Calon presiden nomor urut 3, Ganjar Pranowo mengatakan kita ingin membangun Indonesia yang hebat dengan SDM yang unggul"" Selengkapnya: D6fcIAjpFk DebatCapres DebatPilpres2024 MedcomID 4bvCB3qdSJ   GanjarBersih KuatkanKPK Hebat Ganjar Presidenku LanjutGan Bansos Rakyat""",Calon presiden nomor urut  Ganjar Pranowo mengatakan kita ingin membangun Indonesia yang hebat dengan SDM yang unggul Selengkapnya DfcIAjpFk DebatCapres DebatPilpres MedcomID bvCBqdSJ   GanjarBersih KuatkanKPK Hebat Ganjar Presidenku LanjutGan Bansos Rakyat,"['calon', 'presiden', 'nomor', 'urut', 'ganjar', 'pranowo', 'mengatakan', 'kita', 'ingin', 'membangun', 'indonesia', 'yang', 'hebat', 'dengan', 'sdm', 'yang', 'unggul', 'selengkapnya', 'dfciajpfk', 'debatcapres', 'debatpilpres', 'medcomid', 'bvcbqdsj', 'ganjarbersih', 'kuatkankpk', 'hebat', 'ganjar', 'presidenku', 'lanjutgan', 'bansos', 'rakyat']","['calon', 'presiden', 'nomor', 'urut', 'ganjar', 'pranowo', 'membangun', 'indonesia', 'hebat', 'sdm', 'unggul', 'selengkapnya', 'dfciajpfk', 'debatcapres', 'debatpilpres', 'medcomid', 'bvcbqdsj', 'ganjarbersih', 'kuatkankpk', 'hebat', 'ganjar', 'presidenku', 'lanjutgan', 'bansos', 'rakyat']",calon presiden nomor urut ganjar pranowo bangun indonesia hebat sdm unggul lengkap dfciajpfk debatcapres debatpilpres medcomid bvcbqdsj ganjarbersih kuatkankpk hebat ganjar presiden lanjutgan bansos rakyat
@Andiarief__ Kl Presidennya sekarat Wapres yg gantiin jd hrs ad debat wapres utk lihat kemampuan otaknya ketika hra mengambil keputusan cepat ars mslah yg ada aplg ad Capres yg sdh Uzur kan rawan d panggil Tuhan,Andiarief Kl Presidennya sekarat Wapres yg gantiin jd hrs ad debat wapres utk lihat kemampuan otaknya ketika hra mengambil keputusan cepat ars mslah yg ada aplg ad Capres yg sdh Uzur kan rawan d panggil Tuhan,"['andiarief', 'kl', 'presidennya', 'sekarat', 'wapres', 'yg', 'gantiin', 'jd', 'hrs', 'ad', 'debat', 'wapres', 'utk', 'lihat', 'kemampuan', 'otaknya', 'ketika', 'hra', 'mengambil', 'keputusan', 'cepat', 'ars', 'mslah', 'yg', 'ada', 'aplg', 'ad', 'capres', 'yg', 'sdh', 'uzur', 'kan', 'rawan', 'd', 'panggil', 'tuhan']","['andiarief', 'kl', 'presidennya', 'sekarat', 'wapres', 'yg', 'gantiin', 'jd', 'hrs', 'ad', 'debat', 'wapres', 'utk', 'lihat', 'kemampuan', 'otaknya', 'hra', 'mengambil', 'keputusan', 'cepat', 'ars', 'mslah', 'yg', 'aplg', 'ad', 'capres', 'yg', 'sdh', 'uzur', 'rawan', 'd', 'panggil', 'tuhan']",andiarief kl presiden sekarat wapres yg gantiin jd hrs ad debat wapres utk lihat mampu otak hra ambil putus cepat ars mslah yg aplg ad capres yg sdh uzur rawan d panggil tuhan
"Debat peama capres 2024, aku koq melihat capres no 1 &amp  3 yg terlihat lbh semangat. Mungkin krn baru peama kali jd capres. 🤣 DebatCapres  GanjarMahfud2024    GanjarBersih KuatkanKPK Hebat Ganjar Presidenku LanjutGan Bansos Rakyat",Debat peama capres  aku koq melihat capres no  amp   yg terlihat lbh semangat Mungkin krn baru peama kali jd capres 🤣 DebatCapres  GanjarMahfud    GanjarBersih KuatkanKPK Hebat Ganjar Presidenku LanjutGan Bansos Rakyat,"['debat', 'peama', 'capres', 'aku', 'koq', 'melihat', 'capres', 'no', 'amp', 'yg', 'terlihat', 'lbh', 'semangat', 'mungkin', 'krn', 'baru', 'peama', 'kali', 'jd', 'capres', '🤣', 'debatcapres', 'ganjarmahfud', 'ganjarbersih', 'kuatkankpk', 'hebat', 'ganjar', 'presidenku', 'lanjutgan', 'bansos', 'rakyat']","['debat', 'peama', 'capres', 'koq', 'capres', 'no', 'amp', 'yg', 'lbh', 'semangat', 'krn', 'peama', 'kali', 'jd', 'capres', '🤣', 'debatcapres', 'ganjarmahfud', 'ganjarbersih', 'kuatkankpk', 'hebat', 'ganjar', 'presidenku', 'lanjutgan', 'bansos', 'rakyat']",debat peama capres koq capres no amp yg lbh semangat krn peama kali jd capres  debatcapres ganjarmahfud ganjarbersih kuatkankpk hebat ganjar presiden lanjutgan bansos rakyat
"Visi-Misi paslon no.3 Ganjar DebatCapres Memperhatikan kesetaraan, lapangan pekerjaan dan akses internet untuk belajar. Pemerintah harus bersih dari korupsi!"" DebatRiangGembira YaKeUCGyZw   GanjarBersih KuatkanKPK Hebat Ganjar Presidenku LanjutGan Bansos Rakyat""",VisiMisi paslon no Ganjar DebatCapres Memperhatikan kesetaraan lapangan pekerjaan dan akses internet untuk belajar Pemerintah harus bersih dari korupsi DebatRiangGembira YaKeUCGyZw   GanjarBersih KuatkanKPK Hebat Ganjar Presidenku LanjutGan Bansos Rakyat,"['visimisi', 'paslon', 'no', 'ganjar', 'debatcapres', 'memperhatikan', 'kesetaraan', 'lapangan', 'pekerjaan', 'dan', 'akses', 'internet', 'untuk', 'belajar', 'pemerintah', 'harus', 'bersih', 'dari', 'korupsi', 'debatrianggembira', 'yakeucgyzw', 'ganjarbersih', 'kuatkankpk', 'hebat', 'ganjar', 'presidenku', 'lanjutgan', 'bansos', 'rakyat']","['visimisi', 'paslon', 'no', 'ganjar', 'debatcapres', 'memperhatikan', 'kesetaraan', 'lapangan', 'pekerjaan', 'akses', 'internet', 'belajar', 'pemerintah', 'bersih', 'korupsi', 'debatrianggembira', 'yakeucgyzw', 'ganjarbersih', 'kuatkankpk', 'hebat', 'ganjar', 'presidenku', 'lanjutgan', 'bansos', 'rakyat']",visimisi paslon no ganjar debatcapres perhati tara lapang kerja akses internet ajar perintah bersih korupsi debatrianggembira yakeucgyzw ganjarbersih kuatkankpk hebat ganjar presiden lanjutgan bansos rakyat
"Wow, acara Debat Jubir Muda Capres-Cawapres Vol. 3 di Bandung malam ini seru banget! Terima kasih kepada Ketua BEM Unpad, Haikal Febriansyah, yang mengajak anak muda untuk melek politik menjelang Pemilu 2024. Kita harus aktif dalam memilih pemimpin yang",Wow acara Debat Jubir Muda CapresCawapres Vol  di Bandung malam ini seru banget Terima kasih kepada Ketua BEM Unpad Haikal Febriansyah yang mengajak anak muda untuk melek politik menjelang Pemilu  Kita harus aktif dalam memilih pemimpin yang,"['wow', 'acara', 'debat', 'jubir', 'muda', 'caprescawapres', 'vol', 'di', 'bandung', 'malam', 'ini', 'seru', 'banget', 'terima', 'kasih', 'kepada', 'ketua', 'bem', 'unpad', 'haikal', 'febriansyah', 'yang', 'mengajak', 'anak', 'muda', 'untuk', 'melek', 'politik', 'menjelang', 'pemilu', 'kita', 'harus', 'aktif', 'dalam', 'memilih', 'pemimpin', 'yang']","['wow', 'acara', 'debat', 'jubir', 'muda', 'caprescawapres', 'vol', 'bandung', 'malam', 'seru', 'banget', 'terima', 'kasih', 'ketua', 'bem', 'unpad', 'haikal', 'febriansyah', 'mengajak', 'anak', 'muda', 'melek', 'politik', 'menjelang', 'pemilu', 'aktif', 'memilih', 'pemimpin']",wow acara debat jubir muda caprescawapres vol bandung malam seru banget terima kasih ketua bem unpad haikal febriansyah ajak anak muda melek politik jelang milu aktif pilih pimpin
"Sejauh ini pak ganjar tenang banget dalam beanya dan menjawab, semangat terus ya pak! DebatCapres GanjarMahfud2024   GanjarBersih KuatkanKPK Hebat Ganjar Presidenku LanjutGan Bansos Rakyat",Sejauh ini pak ganjar tenang banget dalam beanya dan menjawab semangat terus ya pak DebatCapres GanjarMahfud   GanjarBersih KuatkanKPK Hebat Ganjar Presidenku LanjutGan Bansos Rakyat,"['sejauh', 'ini', 'pak', 'ganjar', 'tenang', 'banget', 'dalam', 'beanya', 'dan', 'menjawab', 'semangat', 'terus', 'ya', 'pak', 'debatcapres', 'ganjarmahfud', 'ganjarbersih', 'kuatkankpk', 'hebat', 'ganjar', 'presidenku', 'lanjutgan', 'bansos', 'rakyat']","['ganjar', 'tenang', 'banget', 'beanya', 'semangat', 'ya', 'debatcapres', 'ganjarmahfud', 'ganjarbersih', 'kuatkankpk', 'hebat', 'ganjar', 'presidenku', 'lanjutgan', 'bansos', 'rakyat']",ganjar tenang banget bea semangat ya debatcapres ganjarmahfud ganjarbersih kuatkankpk hebat ganjar presiden lanjutgan bansos rakyat
Poin plus debat capres sementara   GanjarBersih KuatkanKPK Hebat Ganjar Presidenku LanjutGan Bansos Rakyat,Poin plus debat capres sementara   GanjarBersih KuatkanKPK Hebat Ganjar Presidenku LanjutGan Bansos Rakyat,"['poin', 'plus', 'debat', 'capres', 'sementara', 'ganjarbersih', 'kuatkankpk', 'hebat', 'ganjar', 'presidenku', 'lanjutgan', 'bansos', 'rakyat']","['poin', 'plus', 'debat', 'capres', 'ganjarbersih', 'kuatkankpk', 'hebat', 'ganjar', 'presidenku', 'lanjutgan', 'bansos', 'rakyat']",poin plus debat capres ganjarbersih kuatkankpk hebat ganjar presiden lanjutgan bansos rakyat
@kurawa kawan tu kan ajudan menhan.. sementara yg debat adalah capres. ya gak salah kalo banyak yg bertanya2.,kurawa kawan tu kan ajudan menhan sementara yg debat adalah capres ya gak salah kalo banyak yg bertanya,"['kurawa', 'kawan', 'tu', 'kan', 'ajudan', 'menhan', 'sementara', 'yg', 'debat', 'adalah', 'capres', 'ya', 'gak', 'salah', 'kalo', 'banyak', 'yg', 'bertanya']","['kurawa', 'kawan', 'tu', 'ajudan', 'menhan', 'yg', 'debat', 'capres', 'ya', 'gak', 'salah', 'kalo', 'yg']",rawa kawan tu ajudan menhan yg debat capres ya gak salah kalo yg
"@bctqm @cheyfluff Berhubung saya gak pernah nntn debat capres karena males denger janji janji manis mereka, jarang liat juga debat para pendukung capres di sosmed karena banyak adu domba dan fitnahnya, jadi dari beberapa referensi yang saya liat, kita butuh presiden tegas untuk negara kita mbak",bctqm cheyfluff Berhubung saya gak pernah nntn debat capres karena males denger janji janji manis mereka jarang liat juga debat para pendukung capres di sosmed karena banyak adu domba dan fitnahnya jadi dari beberapa referensi yang saya liat kita butuh presiden tegas untuk negara kita mbak,"['bctqm', 'cheyfluff', 'berhubung', 'saya', 'gak', 'pernah', 'nntn', 'debat', 'capres', 'karena', 'males', 'denger', 'janji', 'janji', 'manis', 'mereka', 'jarang', 'liat', 'juga', 'debat', 'para', 'pendukung', 'capres', 'di', 'sosmed', 'karena', 'banyak', 'adu', 'domba', 'dan', 'fitnahnya', 'jadi', 'dari', 'beberapa', 'referensi', 'yang', 'saya', 'liat', 'kita', 'butuh', 'presiden', 'tegas', 'untuk', 'negara', 'kita', 'mbak']","['bctqm', 'cheyfluff', 'berhubung', 'gak', 'nntn', 'debat', 'capres', 'males', 'denger', 'janji', 'janji', 'manis', 'jarang', 'liat', 'debat', 'pendukung', 'capres', 'sosmed', 'adu', 'domba', 'fitnahnya', 'referensi', 'liat', 'butuh', 'presiden', 'negara', 'mbak']",bctqm cheyfluff hubung gak nntn debat capres males denger janji janji manis jarang liat debat dukung capres sosmed adu domba fitnah referensi liat butuh presiden negara mbak
