created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Oct 17 16:04:13 +0000 2023;1,71431E+18;@FirmanNew8 @jansen_jsp @officialMKRI Kalau partai parlemen gak usulkan/dukung capres di thn 2024, akan kena sanksi di pemilu 2029. Itu yg berat, brother.;0;0;0;0;in;2908614643;1,71425E+18;muad_marzuki;https://twitter.com/muad_marzuki/status/1714311360761450811
Tue Oct 17 15:42:41 +0000 2023;1,71431E+18;Relawan Pro Jokowi (Projo) resmi mendeklarasikan dukungannya untuk Bakal Calon Presiden (Bacapres) Prabowo Subianto di kontestasi Pemilu 2024. dekade08;0;0;0;0;in;1,51123E+18;1,71431E+18;HanyRetina;https://twitter.com/HanyRetina/status/1714305940294639747
Tue Oct 17 15:27:46 +0000 2023;1,7143E+18;Polda Jabar Gelar Operasi Mantap Brata, Kapolda Optimistis Tahapan Pemilu 2024 Bakal Kondusif https://t.co/umD1ILQyYZ https://t.co/0VnivuTncU;0;0;0;0;in;8,73213E+17;1,7143E+18;maunglucu;https://twitter.com/maunglucu/status/1714302186774233350
Tue Oct 17 14:11:31 +0000 2023;1,71428E+18;*Polda Jabar Gelar Pasukan Menghadapi Operasi Mantap Brata Mengamankan Pemilu Damai 2024*  Dalam menghadapi tingkat keamanan dalam merayakan kontestasi pesta demokrasi dalam pemilu tahun 2024, https://t.co/7PAa2Hbg6g;0;0;0;0;in;1,59535E+18;1,71428E+18;polsek_skjd;https://twitter.com/polsek_skjd/status/1714283000387776556
Tue Oct 17 14:00:34 +0000 2023;1,71428E+18;Edukasi politik..  . #sby #susilobambangyudoyono #presidensby #guritacikeas #putusanmk #mahkamahkonstitusi #partaidemokrat #partaipolitik #pemilu2024 #pemiluserentak2024 #pemiludamai https://t.co/BjjXZlDwxs;0;0;0;0;eu;4776469164;1,71428E+18;ArrisKurniawan;https://twitter.com/ArrisKurniawan/status/1714280241756250618
Tue Oct 17 13:59:47 +0000 2023;1,71428E+18;Pak Bambang juga menegaskan, jika ada ASN yang melanggar akan dikenakan sanksi sesuai ketentuan yang berlaku.   Sementara itu, Pak Bambang berharap di Kota Bandung menjelang Pemilu 2024 berjalan kondusif.  @RESTABES_BDG  @kodim0618ktbdg  @DPRDKotaBandung  @KejariBdg https://t.co/jriOfQfs5W;0;0;0;0;in;1933882213;1,71428E+18;halo_bandung;https://twitter.com/halo_bandung/status/1714280045630644343
Tue Oct 17 13:19:12 +0000 2023;1,71427E+18;Polda Jabar Gelar Pasukan Menghadapi Operasi Mantap Brata Mengamankan Pemilu Damai 2024*  Dalam menghadapi tingkat keamanan dalam merayakan kontestasi pesta demokrasi dalam pemilu tahun 2024, Polda Jabar melaksanakan gelar pasukan yang merupakan bentuk pengecekan akhir kesiapan https://t.co/fjrT3yokaR;0;0;0;1;in;1,18436E+18;1,71427E+18;PolsekNagreg;https://twitter.com/PolsekNagreg/status/1714269831678374173
Tue Oct 17 12:54:35 +0000 2023;1,71426E+18;Kapolda Jabar bersama dengan Pangdam III/Siliwangi dan Pj. Gubernur Jabar laksanakan kegiatan Apel Gelar Pasukan Operasi Mantap Brata Lodaya 2023-2024, dalam Rangka Pengamanan Pemilu 2024. https://t.co/nFG4QxRadx;0;0;0;1;in;9,15793E+17;1,71426E+18;PolsekBanjaran;https://twitter.com/PolsekBanjaran/status/1714263636456415592
Tue Oct 17 12:40:49 +0000 2023;1,71426E+18;*Polda Jabar Gelar Pasukan Menghadapi Operasi Mantap Brata Mengamankan Pemilu Damai 2024*  Dalam menghadapi tingkat keamanan dalam merayakan kontestasi pesta demokrasi dalam pemilu tahun 2024, Polda Jabar melaksanakan gelar pasukan https://t.co/oItBpLIWt8;0;0;0;0;in;1,23181E+18;1,71426E+18;SekDayeuhkolot1;https://twitter.com/SekDayeuhkolot1/status/1714260171793576436
Tue Oct 17 11:12:43 +0000 2023;1,71424E+18;Kapolri Teken Deklarasi Pemilu Damai 2024  Kapolri Jenderal Polisi Drs. Listyo Sigit Prabowo, https://t.co/Q9QWRD6IpJ., telah menandatangani deklarasi Pemilu damai di Lapangan Silang Monas, Jakarta Pusat (17/10).  #DamaiPemiluIndonesia Bahagia Berpesta Demokrasi https://t.co/c51YigEbK4;0;0;0;0;in;1,59535E+18;1,71424E+18;polsek_skjd;https://twitter.com/polsek_skjd/status/1714238002506129481
Tue Oct 17 10:22:49 +0000 2023;1,71423E+18;"Mari kenali 5 Kertas Surat Suara untuk Pemilu 2024    Sarifah Ainun Jariyah, S IP ""  #SeputarCaleg  #PDIPerjuangan #SAJ #SantunAmanahJujur  #SarifahAinunJariyah  #ganjarpresiden2024 https://t.co/53Ep3ymP7f""";0;0;0;1;in;1,35995E+18;1,71423E+18;seputarcaleg;https://twitter.com/seputarcaleg/status/1714225445456195894
Tue Oct 17 09:55:16 +0000 2023;1,71422E+18;Kapolri Teken Deklarasi Pemilu Damai 2024  Kapolri Jenderal Polisi Drs. Listyo Sigit Prabowo, https://t.co/TwPK7Lrekz., telah menandatangani deklarasi Pemilu damai di Lapangan Silang Monas, Jakarta Pusat (17/10). https://t.co/7wCIvXETiq;0;0;0;1;in;1,23181E+18;1,71422E+18;SekDayeuhkolot1;https://twitter.com/SekDayeuhkolot1/status/1714218512447902037
Tue Oct 17 09:52:43 +0000 2023;1,71422E+18;Kapolri menyatakan bahwa jajaran Kepolisian bersama TNI dan instansi terkait siap mengawal dan mengamankan Pemilu 2024 agar berjalan aman dan damai. Hal tersebut diungkapkan Kapolri dalam Apel Gelar Pasukan Operasi Mantap Brata 2023-2024 yang digelar di Lapangan Silang Monas, https://t.co/QLPbxP3xrr;0;0;0;1;in;1,23181E+18;1,71422E+18;SekDayeuhkolot1;https://twitter.com/SekDayeuhkolot1/status/1714217868555157703
Tue Oct 17 09:44:43 +0000 2023;1,71422E+18;Plt. Camat Mandalajati mengikuti Istighosah dan Do'a Bersama dalam rangka Persiapan Pengamanan PEMILU tahun 2024 sehingga terciptanya KAMTIBMAS Kota Bandung yang aman dan kondusif di @polrestabandung   Selasa, 17 Oktober 2023  @pembdg  @DiskominfoBdg  @humasbandung_ @halo_bandung https://t.co/LQPkZRg8Co;0;0;0;0;in;1910318696;1,71422E+18;kec_mandalajati;https://twitter.com/kec_mandalajati/status/1714215856228704320
